,마명,기록,거리,일자,습도,S1화롱,G3화롱,G1화롱,성별,나이,부중,기수,훈련량(분),새기록
11317,시오름,1:36.7,1110,2020-01-11,10,19,51.9,18.1,거,5,53.5,정명일,731,96.7
11318,시오름,1:37.8,1110,2019-11-01,4,19,52.7,18.5,거,5,53.5,정명일,878,97.8
11319,시오름,1:36.9,1110,2019-12-14,4,19,52.7,18.5,거,5,55.5,정명일,752,96.9
11320,시온성,1:04.3,900,2016-05-14,6,16,41.6,14.1,암,3,55.0,권동석,945,64.3
11321,시온성,1:11.3,1000,2016-07-16,9,15,43.0,15.2,암,3,54.0,권동석,657,71.3
11322,시온성,1:11.6,1000,2016-06-25,10,15,42.8,14.4,암,3,54.0,김용섭,578,71.6
11323,시크릿,1:06.1,900,2014-12-26,16,16,43.0,14.5,수,3,55.0,권동석,123,66.1
11324,시크릿,1:06.9,900,2014-11-22,5,16,43.8,15.0,수,3,55.0,김대연,123,66.9
11325,시크릿,1:12.1,1000,2015-02-28,6,16,43.1,15.2,수,3,55.0,권동석,123,72.1
11326,시크릿,1:12.7,1000,2015-01-16,14,16,42.8,14.6,수,3,55.0,권동석,123,72.7
11327,시화연풍,1:10.9,800,2018-05-18,12,18,52.8,18.7,거,4,56.0,정명일,456,70.9
11328,시화연풍,1:16.8,800,2018-07-20,6,19,57.4,20.6,거,4,56.0,정명일,505,76.8
11329,신가속도,1:05.6,900,2017-07-01,7,17,42.0,14.1,수,4,56.0,한영민,652,65.6
11330,신가속도,1:12.8,1000,2017-08-18,6,16,42.6,14.2,수,4,56.0,한영민,723,72.8
11331,신가속도,1:28.2,1200,2017-09-16,10,16,43.2,13.9,수,4,57.0,한영민,794,88.2
11332,신가속도,1:42.9,1400,2017-12-22,9,16,42.9,14.6,수,4,60.5,한영민,945,102.9
11333,신가속도,1:41.6,1400,2018-06-09,6,17,43.0,15.1,수,4,54.0,한영민,666,101.6
11334,신가속도,1:56.4,1610,2018-09-01,20,17,41.7,14.7,수,4,55.0,한영민,796,116.4
11335,신가속도,1:58.0,1610,2018-10-20,6,17,42.9,15.2,수,4,63.0,한영민,654,118.0
11336,신가속도,2:01.5,1610,2017-10-27,6,17,42.9,14.1,수,4,56.5,한영민,1292,121.5
